Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0036100000143051147 7.0710674e-05
GALEX:NUV 0.23119646641474512 0.004969999892637134 5.656854e-05
SDSS:g' 0.48199694202385923 0.006539999973028898 0.00173
SDSS:r' 0.6246977662012919 0.007240000180900097 0.00033
SDSS:i' 0.7634912086792645 0.007710000034421682 0.00128
SDSS:g 0.48199694202385923 0.007259999867528677 0.0002
SDSS:r 0.6246977662012919 0.006930000148713589 0.00013
SDSS:i 0.7634912086792645 0.00848000030964613 0.00016
2MASS:J 1.239016606050587 0.006390000227838755 0.0004690416
2MASS:H 1.6494770729023387 0.008259999565780163 0.0006012487
2MASS:Ks 2.1637853338145083 0.0142000000923872 0.00088881946
WISE:W1 3.350010705106716 0.02555999979376793 0.0011180341
WISE:W2 4.600019302768061 0.03863999992609024 0.0016124515
WISE:W3 11.559823320737255 0.08384000211954117 0.002863564
WISE:W4 22.09066818952177 0.17660000026226044 0.008544004
:=1.4GHz 214137.47000000003 0.0013899999903514981 0.00015
