Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 1.0599999768601265e-05 1.2e-06
SDSS:g' 0.48199694202385923 2.0900000890833326e-05 7e-07
SDSS:r' 0.6246977662012919 4.410000110510737e-05 1.1e-06
SDSS:i' 0.7634912086792645 5.819999933009967e-05 1.3e-06
SDSS:z' 0.9017941824088558 9.14999982342124e-05 4.8e-06
SDSS:u 0.3519021246126397 1.6700000287528383e-05 2.2203603e-06
SDSS:g 0.48199694202385923 2.27999998969608e-05 8.602325e-07
SDSS:r 0.6246977662012919 4.624999928637408e-05 1.3601469e-06
SDSS:i 0.7634912086792643 6.694999865430873e-05 1.979899e-06
SDSS:z 0.9017941824088558 0.00010124999971594661 6.6603297e-06
WISE:W1 3.350010705106716 0.00017966666685727736 1.0816653e-05
WISE:W2 4.600019302768061 0.00015466666566984108 1.6124515e-05
Spitzer/MIPS:24 23.674678828081813 0.0004689999914262444 1e-05
Herschel/SPIRE:350 362.9976001356129 0.006599999964237213 0.0016
Herschel/SPIRE:500 516.9994274578785 0.00419999985024333 0.0025
