Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.700000004551839e-05 8.556284e-06
GALEX:NUV 0.23119646641474512 2.144999962183647e-05 5.374012e-06
SDSS:u 0.3519021246126397 3.81499994546175e-05 1.6970564e-06
SDSS:g 0.4819969420238593 5.065000004833564e-05 1.3416409e-06
SDSS:r 0.6246977662012919 6.919999941601418e-05 2.154066e-06
SDSS:i 0.7634912086792643 6.655000106547959e-05 1.7029386e-06
SDSS:z 0.9017941824088558 9.349999891128391e-05 5.020956e-06
:=3.6um 3.599986286565157 0.00021499999274965376 8e-06
:=4.5um 4.499969349004068 0.0002770000137388706 1.3e-05
WISE:W1 3.350010705106716 0.00020414285453235998 1.7233688e-05
WISE:W2 4.600019302768061 0.0002762857101125909 3.1859065e-05
WISE:W3 11.559823320737255 0.0009712000144645571 0.0003016173
WISE:W4 22.09066818952177 0.0019399999873712659 0.0017320509
"W1 (WISE)" 3.3533831991051453 0.0003913333333333334 2.9751329382062912e-05
"W2 (WISE)" 4.60510688172043 0.00040733333333333333 3.862395629657842e-05
"W3 (WISE)" 11.574998378378377 0.0011766666666666668 0.0003183048852908167
"W4 (WISE)" 22.0435630882353 0.00195 0.000967
