Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0001493333353816221 2.1377558e-05
GALEX:NUV 0.23119646641474512 0.0002343333326280117 1.7320508e-05
SDSS:u' 0.3519021246126397 0.00031900001340545714 3e-06
SDSS:g' 0.48199694202385923 0.0003930000093532726 2.807134e-05
SDSS:r' 0.6246977662012919 0.00040249999437946826 4.90408e-05
SDSS:i' 0.7634912086792645 0.0004419999895617366 2e-06
SDSS:z' 0.9017941824088558 0.00042699999175965786 5e-06
SDSS:u 0.3519021246126397 0.0002982499972858932 1.3784048e-05
SDSS:g 0.4819969420238593 0.00037900000461377203 2.2472204e-05
SDSS:r 0.6246977662012919 0.00038628571201115847 1.4317821e-05
SDSS:i 0.7634912086792645 0.0004250000056345016 1.805547e-05
SDSS:z 0.9017941824088559 0.00041699999876852544 2.0049938e-05
2MASS:J 1.239016606050587 0.0004233333238516934 0.00013509997
2MASS:H 1.649477072902339 0.0006856666586827487 0.00032679352
2MASS:Ks 2.1637853338145083 0.0008718888986752265 0.00020066889
:=3.6um 3.599986286565157 0.0020000000949949026 4e-05
:=4.5um 4.499969349004068 0.0026400000788271427 5e-05
WISE:W1 3.3500107051067163 0.0019210000056773425 0.00013999999
WISE:W2 4.600019302768061 0.002765454500066963 0.00018999999
WISE:W3 11.559823320737255 0.004680999973788858 0.0004619524
WISE:W4 22.09066818952177 0.011044444309340583 0.0027276364
