Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00030266666726674885 1.7832555e-05
GALEX:NUV 0.23119646641474512 0.000381499994546175 8.246211e-06
SDSS:u' 0.3519021246126397 0.0004515000036917627 7.0710676e-06
SDSS:g' 0.48199694202385923 0.0004515000036917627 7.810249e-06
SDSS:r' 0.6246977662012919 0.000575500016566366 9.899495e-06
SDSS:i' 0.7634912086792645 0.0005569999921135604 9.899495e-06
SDSS:z' 0.9017941824088558 0.0010050000273622572 2.828427e-05
SDSS:u 0.3519021246126397 0.00043766666527113155 1.6613249e-05
SDSS:g 0.4819969420238593 0.0004560000015771948 1.50000005e-05
SDSS:r 0.6246977662012919 0.0005941249983152375 1.8520259e-05
SDSS:i 0.7634912086792643 0.0005627499995171092 1.811077e-05
SDSS:z 0.9017941824088559 0.0010120000079041347 4.9244292e-05
2MASS:J 1.239016606050587 0.001050714253714042 0.00017464248
2MASS:H 1.6494770729023385 0.0013378571020439267 0.00026191605
2MASS:Ks 2.1637853338145083 0.0021972727157514205 0.00028687977
:=3.6um 3.599986286565157 0.0035500000230968 8e-05
:=4.5um 4.499969349004068 0.004459999967366457 9e-05
WISE:W1 3.350010705106716 0.003467142831401101 0.00026362852
WISE:W2 4.600019302768061 0.004708000117292007 0.0003312099
WISE:W3 11.559823320737253 0.007544166680114965 0.00061384036
WISE:W4 22.090668189521775 0.020590909164060246 0.003316625
:=1.4GHz 214137.47000000003 0.2970000058412552 0.010049876
"W1 (WISE)" 3.3533831991051453 0.00391 8.152091756107754e-05
"W2 (WISE)" 4.60510688172043 0.00492 0.00011102986084833215
"W3 (WISE)" 11.574998378378377 0.008239999999999999 0.00030329193856744693
"W4 (WISE)" 22.0435630882353 0.020633333333333333 0.0026438040774611118
1.4GHz 214137.47 0.295 0.0099
