Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00014800000644754618 1.2e-05
GALEX:NUV 0.23119646641474512 0.0003760000108741224 1.2e-05
SDSS:g' 0.48199694202385923 0.001550000044517219 5e-05
SDSS:r' 0.6246977662012919 0.002259999979287386 0.00012
SDSS:i' 0.7634912086792645 0.003759999992325902 0.00029
SDSS:u 0.3519021246126397 0.0008280000183731318 5e-06
SDSS:i 0.7634912086792645 0.003379999892786145 1e-05
SDSS:z 0.9017941824088558 0.0030799999367445707 1e-05
2MASS:J 1.239016606050587 0.00342399999499321 0.0004118252
2MASS:H 1.649477072902339 0.004403000185266137 0.00062872894
2MASS:Ks 2.163785333814508 0.005570000037550926 0.00045398241
WISE:W1 3.350010705106716 0.00832999994357427 0.00034029398
WISE:W2 4.600019302768061 0.01100000012665987 0.00041231056
WISE:W3 11.559823320737255 0.03132500033825636 0.001
WISE:W4 22.09066818952177 0.08919999748468399 0.0038587565
"W1 (WISE)" 3.3533831991051453 0.008643333333333334 0.00017994279646598804
"W2 (WISE)" 4.60510688172043 0.0111 0.00021771775306575255
"W3 (WISE)" 11.574998378378377 0.03376666666666667 0.0006278104809574304
"W4 (WISE)" 22.0435630882353 0.08356666666666666 0.0027111989967540193
