Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.9849999666330405e-05 1.979899e-06
GALEX:NUV 0.23119646641474514 4.591999895637855e-05 1.4814182e-05
SDSS:u' 0.3519021246126397 0.00013499999477062374 3e-06
SDSS:g' 0.48199694202385923 0.00012399999832268804 3e-06
SDSS:r' 0.6246977662012919 0.00013000000035390258 2e-06
SDSS:i' 0.7634912086792646 0.00013699999544769526 4e-06
SDSS:z' 0.9017941824088558 0.00021300000662449747 5e-06
SDSS:u 0.3519021246126397 0.00013766666719069084 7.34847e-06
SDSS:g 0.4819969420238593 0.00012440000427886843 6.3245557e-06
SDSS:r 0.6246977662012919 0.0001305999991018325 6.0827624e-06
SDSS:i 0.7634912086792643 0.00013500000059138984 6.3245557e-06
SDSS:z 0.9017941824088558 0.00021080000151414425 1.118034e-05
2MASS:J 1.239016606050587 0.0002566666613953809 9.930761e-05
2MASS:Ks 2.163785333814508 0.0004084999964106828 0.00010818965
WISE:W1 3.3500107051067163 0.00043709999590646476 3.3136082e-05
WISE:W2 4.600019302768061 0.0006662000028882176 4.9608465e-05
WISE:W3 11.559823320737255 0.0018499999617536862 0.0002638181
WISE:W4 22.09066818952177 0.006998749973718077 0.0016603614
