Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 2.6499999876250513e-05 4.3e-06
SDSS:g' 0.48199694202385923 0.00015100000018719584 2e-06
SDSS:r' 0.6246977662012919 0.00046099998871795833 3e-06
SDSS:i' 0.7634912086792645 0.0007009999826550484 5e-06
SDSS:z' 0.9017941824088558 0.0009200000204145908 1.5e-05
SDSS:u 0.3519021246126397 2.7599999157246202e-05 1.4e-06
SDSS:g 0.48199694202385923 0.0001140000022132881 1e-06
SDSS:r 0.6246977662012919 0.00027878999541523325 5.4286743e-06
SDSS:i 0.7634912086792646 0.0005740000051446259 4e-06
2MASS:J 1.239016606050587 0.0005099999834783375 0.00012521981
2MASS:H 1.649477072902339 0.000455000001238659 0.00015652477
2MASS:Ks 2.163785333814508 0.0008549999911338091 0.00027189337
WISE:W1 3.350010705106716 0.0005170000076759607 3.7e-05
WISE:W2 4.600019302768061 0.0005868571523543713 4.6706424e-05
WISE:W3 11.559823320737255 0.001337500027148053 0.00030199336
WISE:W4 22.09066818952177 0.006850000121630728 0.0024644674
Herschel/SPIRE:250 249.99371080720482 0.03739999979734421 0.00947523
Herschel/SPIRE:350 362.9976001356129 0.03539999946951866 0.011313709
Herschel/SPIRE:500 516.9994274578785 0.01899999938905239 0.0134350285
:=250um 249.99371080720482 0.03880000114440918 0.018384777
:=350um 349.99995096608495 0.022199999541044235 0.020930361
"W1 (WISE)" 3.3533831991051453 0.0009376666666666668 3.6479583330953766e-05
"W2 (WISE)" 4.60510688172043 0.0008596666666666666 4.50801508426935e-05
"W3 (WISE)" 11.574998378378377 0.0016333333333333332 0.0003831814191737381
"W4 (WISE)" 22.0435630882353 0.006573333333333334 0.002544680726535256
"250 microns (SPIRE)" 249.82704833333332 0.037 0.007
"350 microns (SPIRE)" 349.81617036172696 0.035 0.008
