Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.255000046920031e-05 1.2349089e-05
GALEX:NUV 0.23119646641474514 3.935000131605193e-05 8.377947e-06
SDSS:u 0.3519021246126397 8.108888950017799e-05 8.233468e-06
SDSS:g 0.4819969420238593 9.497499922872521e-05 5.6964905e-06
SDSS:r 0.6246977662012919 9.1462500677153e-05 5.4635157e-06
SDSS:i 0.7634912086792643 0.00010512499920878327 7.483315e-06
SDSS:z 0.9017941824088558 0.00014449999798671342 1.356466e-05
2MASS:J 1.239016606050587 0.00019166666606906801 8.313844e-05
2MASS:Ks 2.163785333814508 0.0003775000077439472 0.00010040917
:=3.6um 3.599986286565157 0.0005239999736659229 1.3e-05
:=4.5um 4.499969349004068 0.0007019999902695417 1.7e-05
WISE:W1 3.3500107051067163 0.0005114545453001152 4.180909e-05
WISE:W2 4.600019302768061 0.0007567272669720379 6.307139e-05
WISE:W3 11.559823320737253 0.0015910000074654818 0.00027477264
WISE:W4 22.09066818952177 0.004328888892713521 0.0019388914
"W1 (WISE)" 3.3533831991051453 0.000512 2.4211080108082747e-05
"W2 (WISE)" 4.60510688172043 0.0007379999999999999 3.449840576026666e-05
"W3 (WISE)" 11.574998378378377 0.0016466666666666667 0.00019075901027212317
"W4 (WISE)" 22.0435630882353 0.004173333333333334 0.0012537467846419387
