Filter Wave Flux F_er
GALEX:FUV 0.15290072831131743 0.000259000004734844 3.9051247e-05
GALEX:NUV 0.23119646641474517 0.0003665999975055456 2.3216375e-05
SDSS:u 0.3519021246126397 0.0005339999916031957 2.0904545e-05
SDSS:g 0.4819969420238593 0.0005480000011933347 2.3874672e-05
SDSS:r 0.6246977662012919 0.0006190000082521389 2.6305894e-05
SDSS:i 0.7634912086792643 0.0005938333342783153 1.8574176e-05
SDSS:z 0.9017941824088559 0.0006713333132211119 2.3430748e-05
2MASS:J 1.239016606050587 0.0008679333414571981 0.00021757984
2MASS:H 1.6494770729023387 0.001121999998576939 0.00033481338
2MASS:Ks 2.163785333814508 0.001658181776292622 0.00029849625
:=3.6um 3.599986286565157 0.005160000175237656 0.00011
:=4.5um 4.499969349004068 0.006599999964237213 0.00013
WISE:W1 3.3500107051067167 0.004917999962344766 0.00030166208
WISE:W2 4.600019302768061 0.006908181800761006 0.0003856164
WISE:W3 11.559823320737255 0.014499999582767487 0.0008485282
WISE:W4 22.090668189521775 0.032914284616708755 0.0036097092
:=1.4GHz 214137.47000000003 0.0015399999683722854 0.00013
"W1 (WISE)" 3.3533831991051453 0.00496 0.00011532983135338402
"W2 (WISE)" 4.60510688172043 0.00687 0.00016150256963899987
"W3 (WISE)" 11.574998378378377 0.015266666666666666 0.000480967774388264
"W4 (WISE)" 22.0435630882353 0.029666666666666664 0.0026916909183633993
1.4GHz 214137.47 0.00152 0.000132
