Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.003754999954253435 7.211102e-05
GALEX:NUV 0.23119646641474512 0.0043750000186264515 5.656854e-05
SDSS:g' 0.48199694202385923 0.004410000052303076 0.00019
SDSS:r' 0.6246977662012919 0.004769999999552965 0.0003
SDSS:i' 0.7634912086792645 0.006279999855905771 0.00062
2MASS:J 1.239016606050587 0.00559999980032444 0.0007113368
2MASS:H 1.6494770729023385 0.008050000295042992 0.0012752647
2MASS:Ks 2.163785333814508 0.013199999928474426 0.001029563
WISE:W1 3.350010705106717 0.024308333018173773 0.0016852301
WISE:W2 4.600019302768061 0.03581666573882103 0.002330236
WISE:W3 11.559823320737253 0.0904545479200103 0.004311612
WISE:W4 22.090668189521775 0.21699999272823334 0.015231546
"2-10 keV (XMM)" 0.00020675341931034483 3.23e-07 8.97e-09
"0.5-2 keV (XMM)" 0.0009926902582781457 3.08e-06 9.93e-08
"12 microns (IRAS)" 11.99169832 0.124 0.0323
"25 microns (IRAS)" 24.982704833333333 0.262 0.0261
"60 microns (IRAS)" 59.958491599999995 0.281 0.0449
