Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0004439999950894465 3.6373065e-05
GALEX:NUV 0.23119646641474512 0.0008677500009071082 3.2741413e-05
SDSS:u' 0.3519021246126397 0.0021699999924749136 2e-05
SDSS:g' 0.4819969420238593 0.0043200000654906034 8.062257e-05
SDSS:r' 0.6246977662012919 0.0074449998792260885 0.0003206244
SDSS:i' 0.7634912086792646 0.007199999876320362 0.0006
SDSS:u 0.3519021246126397 0.002078333345707506 4.5825756e-05
SDSS:g 0.48199694202385934 0.0046164285886334255 3.608324e-05
SDSS:r 0.6246977662012919 0.005567000109294895 0.0001020049
SDSS:i 0.7634912086792643 0.007723999908193946 0.00020000248
SDSS:z 0.9017941824088561 0.006421000161208212 0.00020078843
2MASS:J 1.239016606050587 0.004687444397455288 0.0010631087
2MASS:H 1.6494770729023387 0.006871250021504238 0.0018453184
2MASS:Ks 2.1637853338145083 0.004149999935179949 0.0009063112
WISE:W1 3.3500107051067167 0.009459090800109234 0.0005748043
WISE:W2 4.600019302768061 0.006997000006958842 0.00040644803
WISE:W3 11.559823320737255 0.05145555486281713 0.0020024984
WISE:W4 22.09066818952177 0.09792222330967586 0.0076681157
Herschel/SPIRE:250 249.99371080720482 1.0 0.01
Herschel/SPIRE:350 362.9976001356129 0.4620000123977661 0.01
Herschel/SPIRE:500 516.9994274578785 0.20800000429153442 0.011
:=250um 249.99371080720482 1.0 0.01
:=350um 349.99995096608495 0.4620000123977661 0.01
:=500um 499.99576043629816 0.20800000429153442 0.011
:=1.4GHz 214137.47000000003 0.012869999837130308 0.0017521415
"W1 (WISE)" 3.3533831991051453 0.01195 0.00022887902918354054
"W2 (WISE)" 4.60510688172043 0.009009999999999999 0.00017124117495509076
"W3 (WISE)" 11.574998378378377 0.06233333333333333 0.0009686614475656601
"W4 (WISE)" 22.0435630882353 0.11133333333333334 0.00412743261604596
