Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.021237499313428998 0.0014560219
2MASS:H 1.6494770729023387 0.04279999900609255 0.0031448372
2MASS:Ks 2.1637853338145083 0.040300000458955765 0.0031112698
WISE:W1 3.350010705106716 0.0464400015771389 0.0021494187
WISE:W2 4.600019302768061 0.038159999251365664 0.0015652475
WISE:W3 11.559823320737253 0.2718000054359436 0.006708204
WISE:W4 22.090668189521775 0.5891999959945678 0.021047564
IRAS:12 11.59021333024047 0.5199999809265137 0.029
IRAS:25 23.880234028994742 0.8999999761581421 0.037
IRAS:100 101.94941780588998 30.100000381469727 0.1
:=1.4GHz 214137.47000000003 0.13749999552965164 0.0070710676
"W1 (WISE)" 3.3524464998875185 0.05065 0.0014060793007508502
"W2 (WISE)" 4.60334111987928 0.040650000000000006 0.0010561249926026748
"W3 (WISE)" 11.574998378378378 0.29200000000000004 0.0055051793794571304
"W4 (WISE)" 22.043563088235295 0.56225 0.014154041825570531
"3.6 microns (IRAC)" 3.5520433412322276 0.0232 9.631458871842833e-07
"4.5 microns (IRAC)" 4.494639550224888 0.01875 1.8594074324902544e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0577 6.432705496134578e-06
"8.0 microns (IRAC)" 7.86856845144357 0.16499999999999998 1.8402445489662508e-05
"12 microns (IRAS)" 11.99169832 0.5255000000000001 0.04779131720302339
"25 microns (IRAS)" 24.982704833333333 0.8365 0.04692557937841577
"60 microns (IRAS)" 59.958491599999995 14.4 0.7245260519815695
"100 microns (IRAS)" 99.93081933333333 29.4 1.464923206178399
"24 microns (MIPS)" 23.60570535433071 0.404 0.00026077193100485337
1.4GHz 214137.47 0.138 0.0049
