Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0003321999987141074 2.3701688e-05
GALEX:NUV 0.23119646641474512 0.0005626666728251924 1.0606602e-05
SDSS:u' 0.3519021246126397 0.0023799999617040157 2e-05
SDSS:g' 0.48199694202385923 0.004800000227987766 0.00047
SDSS:r' 0.6246977662012919 0.020779999438673258 0.00028792358
SDSS:i' 0.7634912086792645 0.031300000846385956 0.00014142135
SDSS:z' 0.9017941824088558 0.06300000101327896 0.0001
SDSS:u 0.3519021246126397 0.0023499999660998583 2e-05
SDSS:r 0.6246977662012919 0.034299999475479126 0.0001
SDSS:i 0.7634912086792646 0.050999999046325684 0.0001
SDSS:z 0.9017941824088558 0.06840000301599503 0.0001
2MASS:J 1.239016606050587 0.020845454609529537 0.0021213205
2MASS:H 1.649477072902339 0.028836364434524017 0.0032511535
2MASS:Ks 2.1637853338145083 0.022299999371170998 0.0018920888
WISE:W1 3.3500107051067163 0.04914285721523421 0.0022000002
WISE:W2 4.600019302768061 0.056757143033402305 0.0023065128
WISE:W3 11.559823320737255 0.1436666672428449 0.004582576
WISE:W4 22.090668189521775 0.2586000025272369 0.010440307
IRAS:12 11.59021333024047 0.2199999988079071 0.042426407
IRAS:25 23.880234028994742 0.3060000042120616 0.07348469
IRAS:60 61.849860328856415 0.5950000087420145 0.11228981
IRAS:100 101.94941780588996 2.006666660308838 0.30066592
:=1.4GHz 214137.47000000006 0.003700000001117587 0.0005
"W1 (WISE)" 3.3533831991051453 0.05029999999999999 0.0010430906000918616
"W2 (WISE)" 4.60510688172043 0.05676666666666667 0.001029639742822702
"W3 (WISE)" 11.574998378378377 0.149 0.0022741330216150507
"W4 (WISE)" 22.0435630882353 0.24533333333333332 0.0061006065272233385
1.4GHz 214137.47 0.0042 0.0006
