Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.0010999999940395355 0.00013
SDSS:r' 0.6246977662012919 0.003169999923557043 0.00014
SDSS:i' 0.7634912086792645 0.005779999773949385 0.00011
2MASS:J 1.239016606050587 0.00874916665876905 0.001889471
2MASS:H 1.649477072902339 0.014541667109976212 0.0029832865
2MASS:Ks 2.1637853338145083 0.01769999973475933 0.0025826343
WISE:W1 3.350010705106716 0.014392000343650579 0.0007071775
WISE:W2 4.600019302768061 0.015300000086426735 0.0007071068
WISE:W3 11.559823320737253 0.04179999977350235 0.0012
WISE:W4 22.090668189521775 0.11749999970197678 0.006
"12 microns (IRAS)" 11.99169832 0.109 0.0217
"25 microns (IRAS)" 24.982704833333333 0.143 0.025
"60 microns (IRAS)" 59.958491599999995 0.479 0.0623
