Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0003539999888744205 7e-06
SDSS:g' 0.48199694202385923 0.0005310000269673765 2.1e-05
SDSS:r' 0.6246977662012919 0.0007869999972172081 7.3e-05
SDSS:u 0.3519021246126397 0.0004178571398369968 1.7972201e-05
SDSS:g 0.4819969420238593 0.00043899999582208693 2.0928448e-05
SDSS:r 0.6246977662012919 0.0005391249942476861 1.5362291e-05
SDSS:i 0.7634912086792645 0.00069374999293359 2.7586228e-05
SDSS:z 0.9017941824088559 0.0006633750017499551 2.8124721e-05
2MASS:J 1.239016606050587 0.0010752941153067 0.00023323807
2MASS:H 1.6494770729023385 0.0016423529424868962 0.00039
2MASS:Ks 2.163785333814508 0.0026599999982863665 0.00036482874
:=3.6um 3.599986286565157 0.004920000210404396 1e-05
WISE:W1 3.350010705106716 0.004568461543665483 0.00033555922
WISE:W2 4.600019302768061 0.005817142913916281 0.00040024993
WISE:W3 11.559823320737253 0.009830000048333948 0.00070028566
WISE:W4 22.090668189521775 0.0273454546589743 0.0038327537
"W1 (WISE)" 3.3533831991051453 0.00465 0.00010578757015831303
"W2 (WISE)" 4.60510688172043 0.00587 0.00013602915128750896
"W3 (WISE)" 11.574998378378377 0.010486666666666667 0.0003851726885437232
"W4 (WISE)" 22.0435630882353 0.025566666666666668 0.002016977937410323
