Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.0100000054080738e-06 1.8e-07
GALEX:NUV 0.23119646641474514 3.33500011038268e-05 6.500769e-06
SDSS:u' 0.3519021246126397 0.00011749999976018444 4.582576e-06
SDSS:g' 0.4819969420238593 0.00015100000018719584 2e-06
SDSS:r' 0.6246977662012919 0.0001649999976507388 2e-06
SDSS:i' 0.7634912086792645 0.00020474999837460928 4e-06
SDSS:z' 0.9017941824088558 0.00021075000404380262 8.544003e-06
SDSS:u 0.35190212461263964 0.00010894000151893125 8.497647e-06
SDSS:g 0.48199694202385934 0.00014800000321378725 8.185353e-06
SDSS:r 0.6246977662012919 0.00016211111020917693 5.6568542e-06
SDSS:i 0.7634912086792645 0.00020022222047878636 1.0816653e-05
SDSS:z 0.901794182408856 0.00020188889013499848 1.4142135e-05
2MASS:J 1.239016606050587 0.00022266666928771883 9.584362e-05
2MASS:H 1.6494770729023385 0.00045533333711015683 0.00015820241
2MASS:Ks 2.163785333814508 0.00026849999267142266 0.000113846385
:=3.6um 3.599986286565157 0.0002530000056140125 9e-06
:=4.5um 4.499969349004068 0.0004569999873638153 1.6e-05
WISE:W1 3.3500107051067167 0.00022991666507247524 2.9631065e-05
WISE:W2 4.600019302768061 0.0005105000018374994 6.275348e-05
WISE:W3 11.559823320737253 0.0021081818267703056 0.0004604346
WISE:W4 22.09066818952177 0.005312999943271279 0.0025415744
"W1 (WISE)" 3.3533831991051453 0.00027699999999999996 3.840173954393212e-05
"W2 (WISE)" 4.60510688172043 0.0004583333333333333 4.2788199307753066e-05
"W3 (WISE)" 11.574998378378377 0.002203333333333333 0.00034183914345785506
"W4 (WISE)" 22.0435630882353 0.004603333333333333 0.002545109231447641
"4.5 microns (IRAC)" 4.494639550224888 0.000605 1.4475776317697092e-06
"8.0 microns (IRAC)" 7.86856845144357 0.00169 5.578001434205624e-06
"24 microns (MIPS)" 23.60570535433071 0.005145 0.00010573816718668807
