Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.8600000455820314e-05 6.191123e-06
GALEX:NUV 0.23119646641474512 5.543333463720046e-05 6.2936474e-06
SDSS:u 0.3519021246126397 7.014285698200442e-05 4.7686476e-06
SDSS:g 0.4819969420238593 8.211666621112575e-05 3.1717502e-06
SDSS:r 0.6246977662012919 8.693333438714035e-05 2.4959968e-06
SDSS:i 0.7634912086792643 9.534999965884101e-05 3.933192e-06
SDSS:z 0.9017941824088558 0.00010783333345898427 9.797959e-06
2MASS:J 1.239016606050587 0.0001313333292879785 7.679193e-05
2MASS:H 1.6494770729023385 0.00032233333331532776 0.00012702755
2MASS:Ks 2.163785333814508 0.0003834999952232465 0.00010111875
WISE:W1 3.350010705106716 0.0006012222147546709 4.3611923e-05
WISE:W2 4.600019302768061 0.0007447777962726024 5.7861904e-05
WISE:W3 11.559823320737255 0.0016162499960046262 0.00031937438
WISE:W4 22.090668189521775 0.00480714300647378 0.0019291448
