Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 3.169999899910181e-06 1.88e-06
SDSS:u 0.3519021246126397 3.2642857539550666e-06 3.0585454e-06
SDSS:g 0.48199694202385923 1.0749999698115667e-05 1.2247449e-06
SDSS:r 0.6246977662012919 2.910000027137964e-05 2.0024984e-06
SDSS:i 0.7634912086792643 5.928333424283968e-05 4.0024993e-06
SDSS:z 0.9017941824088558 6.764999852748588e-05 1.151347e-05
2MASS:J 1.239016606050587 0.00015866666217334569 8.660254e-05
2MASS:Ks 2.163785333814508 0.00037099998735357076 0.000109603825
WISE:W1 3.3500107051067163 0.0006841818156482822 5.610704e-05
WISE:W2 4.600019302768061 0.0011254545322365382 9.5393916e-05
WISE:W3 11.559823320737255 0.0031180000863969327 0.00046508064
WISE:W4 22.09066818952177 0.009242222126987245 0.0027405838
:=1.4GHz 214137.47000000003 0.028750000521540642 0.0010049876
"W1 (WISE)" 3.3533831991051453 0.0007123333333333334 3.242853681558882e-05
"W2 (WISE)" 4.60510688172043 0.0011266666666666667 5.62825905587154e-05
"W3 (WISE)" 11.574998378378377 0.00329 0.00033049357028541417
"W4 (WISE)" 22.0435630882353 0.008546666666666666 0.0026755373292107138
1.4GHz 214137.47 0.028999999999999998 0.0016880758276807354
