Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.0700000125846905e-06 1.3006153e-06
GALEX:NUV 0.23119646641474514 5.2466665086588664e-06 1.8629011e-06
SDSS:u' 0.3519021246126397 7.820000064384658e-06 1.29e-06
SDSS:g' 0.48199694202385923 1.0599999768601265e-05 5e-07
SDSS:r' 0.6246977662012919 1.4899999769113492e-05 8e-07
SDSS:i' 0.7634912086792645 3.0299999707494862e-05 1.4e-06
SDSS:z' 0.9017941824088558 3.870000000461005e-05 5.2e-06
SDSS:u 0.35190212461263964 8.568888915760908e-06 4.2383135e-06
SDSS:g 0.48199694202385934 1.276500006497372e-05 1.6977633e-06
SDSS:r 0.6246977662012919 1.5774999837958603e-05 2.45153e-06
SDSS:i 0.7634912086792643 3.133750033157412e-05 3.938274e-06
SDSS:z 0.9017941824088559 4.0725001326791244e-05 1.554381e-05
WISE:W1 3.3500107051067167 0.00015299999974488927 2.5159492e-05
WISE:W2 4.600019302768061 0.00016915384577049946 4.2544096e-05
WISE:W3 11.559823320737255 0.00029200001154094934 0.0002236068
:=1.4GHz 214137.47 0.016363333445042372 0.0014941553
"W1 (WISE)" 3.3533831991051453 0.00028966666666666664 2.0766463348389392e-05
"W2 (WISE)" 4.60510688172043 0.0002466666666666667 5.144025660900225e-05
"W3 (WISE)" 11.574998378378377 0.0005163333333333334 0.0002650924367084056
"W4 (WISE)" 22.0435630882353 0.0029066666666666668 0.002243078242059336
