Filter Wave Flux F_er
SDSS:u 0.3519021246126397 6.4300002122763544e-06 4.9e-06
SDSS:g 0.48199694202385923 4.86999997519888e-05 1.6e-06
SDSS:r 0.6246977662012919 0.00010599999950500205 2e-06
SDSS:i 0.7634912086792645 0.00016599999798927456 3e-06
SDSS:z 0.9017941824088558 0.00020199999562464654 1e-05
WISE:W1 3.350010705106716 0.00017716666479827836 1.5362291e-05
WISE:W2 4.600019302768061 0.00012471666802108908 3.017499e-05
WISE:W3 11.559823320737255 0.0004239999980200082 0.00031280823
"W1 (WISE)" 3.3533831991051453 0.000247 2.3467230343608934e-05
"W2 (WISE)" 4.60510688172043 9.84e-05 1.41e-05
"W3 (WISE)" 11.574998378378377 0.000425 0.000174
