Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.3900000340072438e-05 1.2e-06
GALEX:NUV 0.23119646641474512 0.00012679999963438604 1.1764778e-05
SDSS:u' 0.3519021246126397 0.0009159999899566174 2.3e-05
SDSS:g' 0.48199694202385923 0.0034299999242648482 2.236068e-05
SDSS:r' 0.6246977662012919 0.003220000071451068 0.00017
SDSS:i' 0.7634912086792645 0.005189999938011169 0.00016
SDSS:z' 0.9017941824088558 0.02500000037252903 0.0001
SDSS:u 0.3519021246126397 0.0008249999955296516 1.7e-05
SDSS:g 0.48199694202385923 0.005280000157654285 1e-05
2MASS:J 1.239016606050587 0.010166000132448972 0.0014741776
2MASS:H 1.649477072902339 0.012281999993138015 0.0022906768
2MASS:Ks 2.1637853338145083 0.007717142746384654 0.0021065138
WISE:W1 3.350010705106716 0.005750000011175871 0.00025019993
WISE:W2 4.600019302768061 0.0035649999820937714 0.00016309506
WISE:W3 11.559823320737255 0.0046350001357495785 0.0004
WISE:W4 22.09066818952177 0.008490000385791063 0.0032581282
"FUV (GALEX)" 0.15373972205128206 1.64e-05 1.0794206779564674e-06
"NUV (GALEX)" 0.23239725426356592 5.105e-05 1.6616004333172281e-06
"W1 (WISE)" 3.3533831991051453 0.009166666666666667 0.00015208158994434534
"W2 (WISE)" 4.60510688172043 0.005699999999999999 0.0001363794705958342
"W3 (WISE)" 11.574998378378377 0.009356666666666668 0.0005401860790505435
"W4 (WISE)" 22.0435630882353 0.012773333333333333 0.003335236123575061
1.4GHz 214137.47 0.0032 0.0005
