Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 0.0010289999772794545 1.4866068e-05
SDSS:g' 0.48199694202385923 0.0036033333744853735 0.00013076697
SDSS:r' 0.6246977662012919 0.007366666880746682 0.00034117445
SDSS:i' 0.7634912086792646 0.006120000034570694 0.00055
SDSS:z' 0.9017941824088558 0.018799999728798866 0.0001
SDSS:u 0.3519021246126397 0.0009319999953731894 9e-06
SDSS:g 0.48199694202385923 0.003050000057555735 0.0001403567
SDSS:r 0.6246977662012919 0.006185000063851476 0.00035057095
SDSS:i 0.7634912086792643 0.005979999899864197 0.0005
2MASS:J 1.239016606050587 0.007514000125229359 0.0014215484
2MASS:H 1.649477072902339 0.009775999933481216 0.0021527424
2MASS:Ks 2.1637853338145083 0.009483750036451966 0.0016852004
WISE:W1 3.3500107051067167 0.01191428569810731 0.00056568545
WISE:W2 4.600019302768061 0.012142857137535299 0.00046904152
WISE:W3 11.559823320737253 0.04098000004887581 0.0013190906
WISE:W4 22.09066818952177 0.10603333388765653 0.006797794
Herschel/PACS:70 69.99917297095358 0.5220000147819519 0.038183767
Herschel/PACS:160 160.0002444361424 0.9169999957084656 0.06
Herschel/SPIRE:250 249.99371080720482 0.4230000078678131 0.024
Herschel/SPIRE:350 362.9976001356129 0.1809999942779541 0.012
Herschel/SPIRE:500 516.9994274578785 0.05999999865889549 0.01
:=250um 249.99371080720482 0.4230000078678131 0.024
:=350um 349.99995096608495 0.1809999942779541 0.012
:=500um 499.99576043629816 0.05999999865889549 0.01
:=1.4GHz 214137.47000000003 0.006400000071153045 0.0011574109
"W1 (WISE)" 3.3533831991051453 0.012966666666666668 0.0002584101778181347
"W2 (WISE)" 4.60510688172043 0.0128 0.00025002347889748275
"W3 (WISE)" 11.574998378378377 0.046033333333333336 0.0008566294414739666
"W4 (WISE)" 22.0435630882353 0.10563333333333334 0.0038362612007004945
"60 microns (IRAS)" 59.958491599999995 0.374 0.0487
"100 microns (IRAS)" 99.93081933333333 0.752 0.203
1.4GHz 214137.47 0.0062 0.0005
