Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 0.00022899999748915434 1e-05
SDSS:u' 0.3519021246126397 0.001449999981559813 1.4142135e-05
SDSS:g' 0.48199694202385923 0.004739999887533486 0.00041012192
SDSS:r' 0.6246977662012919 0.006920000072568655 0.00061
SDSS:i' 0.7634912086792646 0.009479999542236328 0.00087
SDSS:u 0.3519021246126397 0.001546666685802241 4.2426407e-05
SDSS:g 0.48199694202385923 0.004349999867069225 0.000110471716
SDSS:r 0.6246977662012919 0.010999999940395355 0.0002
SDSS:i 0.7634912086792645 0.009903333305070797 0.00030033317
SDSS:z 0.9017941824088558 0.008992499788291752 0.00040074927
2MASS:J 1.239016606050587 0.013662222565876113 0.0016164468
2MASS:H 1.649477072902339 0.01753333293729358 0.0024186773
2MASS:Ks 2.1637853338145083 0.014099999996168273 0.0018138358
WISE:W1 3.350010705106716 0.015940000116825104 0.0007348469
WISE:W2 4.600019302768061 0.02824000008404255 0.0010198039
WISE:W3 11.559823320737253 0.18450000137090683 0.006
WISE:W4 22.090668189521775 0.6955000162124634 0.02607681
IRAS:12 11.590213330240472 0.24799999594688416 0.027
IRAS:25 23.880234028994742 0.8524999916553497 0.09780082
IRAS:60 61.849860328856415 2.6299999952316284 0.3176476
IRAS:100 101.94941780588996 2.6299999952316284 0.3
:=1.4GHz 214137.47000000003 0.0067724999389611185 0.0012288206
"NUV (GALEX)" 0.22711549848484847 4.97e-05 2.2e-06
"W1 (WISE)" 3.3533831991051453 0.016733333333333333 0.0003645940756512645
"W2 (WISE)" 4.60510688172043 0.028833333333333332 0.0005744580054277249
"W3 (WISE)" 11.574998378378377 0.19166666666666665 0.003140577813078351
"W4 (WISE)" 22.0435630882353 0.6536666666666666 0.015045361411411825
"12 microns (IRAS)" 11.99169832 0.248 0.0273
"25 microns (IRAS)" 24.982704833333333 0.84 0.0174
"60 microns (IRAS)" 59.958491599999995 2.49 0.149
"100 microns (IRAS)" 99.93081933333333 2.54 0.178
1.4GHz 214137.47 0.007 0.0006
