Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 5.0099999498343095e-05 4.6e-06
GALEX:NUV 0.23119646641474512 0.00011800000356743112 1.1e-05
SDSS:g' 0.48199694202385923 0.0017099999822676182 0.00015
SDSS:r' 0.6246977662012919 0.003470000112429261 0.00022
SDSS:i' 0.7634912086792645 0.005229999776929617 0.00038
SDSS:u 0.3519021246126397 0.0005423333301829795 3.0248968e-05
SDSS:g 0.48199694202385923 0.0022466666996479034 0.00011090536
SDSS:r 0.6246977662012919 0.00438666669651866 0.00021047564
SDSS:i 0.7634912086792646 0.0063133334430555505 0.00029034461
SDSS:z 0.9017941824088558 0.008333333147068819 0.0003713489
2MASS:J 1.239016606050587 0.008186875085812062 0.0013905395
2MASS:H 1.6494770729023387 0.009856153494463516 0.0014036738
2MASS:Ks 2.163785333814508 0.008800000231713057 0.0011967875
WISE:W1 3.3500107051067163 0.007683333268182145 0.0008710339
WISE:W2 4.600019302768061 0.0073877777386870645 0.0008066598
WISE:W3 11.559823320737255 0.06128571395363126 0.0069985706
WISE:W4 22.09066818952177 0.6018571342740741 0.06267376
IRAS:25 23.880234028994742 1.0350000262260437 0.14422205
IRAS:60 61.84986032885641 12.599999904632568 1.7029387
IRAS:100 101.94941780588995 13.800000190734863 1.9104973
Spitzer/MIPS:24 23.674678828081813 0.7450000047683716 0.069
:=1.4GHz 214137.47 0.040366667012373604 0.0018708287
"u (SDSS) AB" 0.3552043341232228 0.0007689999999999999 5.081781183797665e-05
"g (SDSS) AB" 0.46842571562499996 0.002725 0.0001792010044614706
"r (SDSS) AB" 0.6168569094650206 0.00496 0.0003247106404169718
"i (SDSS) AB" 0.747612114713217 0.00687 0.000448830703049602
"z (SDSS) AB" 0.8922394583333333 0.008555 0.0005580680962033218
"J (2MASS) AB" 1.2337138189300412 0.0129 0.000594
"H (2MASS) AB" 1.6472113076923076 0.0155 0.0010092497213276801
"Ks (2MASS) AB" 2.156780273381295 0.0154 0.0010041912168506555
"W1 (WISE)" 3.349636402234637 0.00781 0.000166
"W2 (WISE)" 4.5980438343558285 0.00764 0.000148
"W3 (WISE)" 11.574998378378378 0.0693 0.000957
"W4 (WISE)" 22.043563088235295 0.644 0.0089
"25 microns (IRAS)" 24.982704833333333 0.9923333333333334 0.09664414105366138
"60 microns (IRAS)" 59.958491599999995 12.533333333333331 1.0032292858564287
"100 microns (IRAS)" 99.93081933333333 13.800000000000002 0.9614223837627248
"70 microns (PACS)" 70.0449668224299 14.7 0.67
"100 microns (PACS)" 102.31824505119454 13.4 0.61
"160 microns (PACS)" 165.63119226519336 7.77 0.344
"250 microns (SPIRE)" 249.82704833333332 2.61 0.156
"350 microns (SPIRE)" 349.81617036172696 0.995 0.061
"500 microns (SPIRE)" 499.65409666666665 0.302 0.019
1.4GHz 214137.47 0.0406 0.0013
