Filter Wave Flux F_er
SDSS:u 0.3519021246126397 0.00015700000221841037 4e-06
SDSS:g 0.48199694202385923 0.0004140000091865659 2e-06
SDSS:r 0.6246977662012919 0.00072900002123788 3e-06
SDSS:i 0.7634912086792645 0.0011099999537691474 1e-05
SDSS:z 0.9017941824088558 0.001339999958872795 2e-05
2MASS:J 1.239016606050587 0.0008980000275187194 0.00019766892
2MASS:H 1.6494770729023387 0.0008750000270083547 0.000312
2MASS:Ks 2.1637853338145083 0.0009449999779462814 0.0002881475
WISE:W1 3.350010705106716 0.0008035714210044327 5.931273e-05
WISE:W2 4.600019302768061 0.001094999994772176 6.78233e-05
WISE:W3 11.559823320737255 0.0031859999988228084 0.00034452867
WISE:W4 22.09066818952177 0.009373999945819379 0.0027477264
