Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.7700000348195317e-06 1.2360016e-06
GALEX:NUV 0.23119646641474512 3.32666672875348e-06 2.391213e-06
2MASS:J 1.239016606050587 0.0001990000018849969 9.3080605e-05
2MASS:H 1.6494770729023385 0.00029799999902024865 0.0001445199
2MASS:Ks 2.163785333814508 0.0004870000120718032 0.00021959736
WISE:W1 3.350010705106716 0.0002941666607512161 2.092845e-05
WISE:W2 4.600019302768061 0.0002361666653693343 3e-05
WISE:W3 11.559823320737255 0.00044999999227002263 0.00017253406
"W1 (WISE)" 3.3533831991051453 0.000297 3.200124997558689e-05
"W2 (WISE)" 4.60510688172043 0.00020966666666666668 3.780714218239723e-05
