Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.3600000076839933e-05 7.5219677e-06
GALEX:NUV 0.23119646641474514 2.802499966492178e-05 5.8429446e-06
SDSS:u' 0.3519021246126397 6.040000153006986e-05 1.8e-06
SDSS:g' 0.48199694202385923 6.399999983841553e-05 4.1e-06
SDSS:r' 0.6246977662012919 8.399999933317304e-05 1.8e-06
SDSS:i' 0.7634912086792645 9.380000119563192e-05 2.2e-06
SDSS:z' 0.9017941824088558 0.0001340000017080456 4e-06
SDSS:u 0.3519021246126397 6.221428494817311e-05 4.9234136e-06
SDSS:g 0.48199694202385923 6.616666845123594e-05 9.610411e-06
SDSS:r 0.6246977662012919 8.493333371006884e-05 4.216634e-06
SDSS:i 0.7634912086792645 9.3966665493402e-05 5.6044623e-06
SDSS:z 0.9017941824088558 0.0001336666634112286 1.024695e-05
2MASS:H 1.6494770729023385 0.00037399999564513564 0.000118793934
WISE:W1 3.3500107051067163 0.0003390909061470831 3.679674e-05
WISE:W2 4.600019302768061 0.00043063636721027166 5.8197937e-05
WISE:W3 11.559823320737255 0.0008328000083565712 0.00042692389
WISE:W4 22.09066818952177 0.0024966665854056678 0.0023737946
