Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.1675000223476673e-05 6.1983865e-06
GALEX:NUV 0.23119646641474512 1.7299999854003545e-05 6.114736e-06
SDSS:u 0.3519021246126397 6.185000029290677e-05 4.7465774e-06
SDSS:g 0.4819969420238593 0.00017691249968265765 3.2939338e-06
SDSS:r 0.6246977662012919 0.0003701249934238149 5.385165e-06
SDSS:i 0.7634912086792643 0.0005366666704907806 7.745966e-06
SDSS:z 0.9017941824088559 0.0006513333355542272 2.439262e-05
2MASS:J 1.239016606050587 0.00056900002527982 0.00018101934
2MASS:H 1.6494770729023387 0.0008329999982379377 0.0002687006
2MASS:Ks 2.1637853338145083 0.0008839999791234732 0.00023811765
:=3.6um 3.599986286565157 0.0014900000533089042 1e-05
:=4.5um 4.499969349004068 0.0021699999924749136 1e-05
WISE:W1 3.3500107051067163 0.0010502222155789947 9.110433e-05
WISE:W2 4.600019302768061 0.0019044999848119915 0.00015741982
WISE:W3 11.559823320737255 0.013271428378564971 0.0007937254
WISE:W4 22.090668189521775 0.06843333194653194 0.0052306787
:=1.4GHz 214137.47000000003 0.004084999905899167 0.00051662367
"W1 (WISE)" 3.3533831991051453 0.00122 4.1252515074841195e-05
"W2 (WISE)" 4.60510688172043 0.0021 8.100925873009826e-05
"W3 (WISE)" 11.574998378378377 0.014100000000000001 0.0005704182675896697
"W4 (WISE)" 22.0435630882353 0.06366666666666666 0.003718090907979524
1.4GHz 214137.47 0.0046 0.0006
