Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 5.110000074637355e-06 1.61e-06
SDSS:u 0.3519021246126397 2.8250000468688086e-05 3.1048348e-06
SDSS:g 0.48199694202385923 0.00012984285889875276 2.918904e-06
SDSS:r 0.6246977662012919 0.00032199999779030416 3.1622778e-06
SDSS:i 0.7634912086792645 0.0004948571461552222 5.8309524e-06
SDSS:z 0.9017941824088558 0.0006456250048358925 2.912044e-05
2MASS:J 1.239016606050587 0.0006990000256337225 0.00014310835
2MASS:H 1.649477072902339 0.0008769999840296805 0.00021913466
2MASS:Ks 2.163785333814508 0.0007730000070296228 0.00019230184
:=4.5um 4.499969349004068 0.0005179999861866236 6e-06
WISE:W1 3.3500107051067163 0.000542600016342476 3.436568e-05
WISE:W2 4.600019302768061 0.0005032500193919986 3.524202e-05
WISE:W3 11.559823320737257 0.0004573333135340363 0.0002812757
