Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.842500023485627e-05 7.2152616e-06
GALEX:NUV 0.23119646641474512 2.0649999896704685e-05 5.031898e-06
SDSS:u' 0.3519021246126397 0.00015700000221841037 5e-06
SDSS:g' 0.48199694202385923 0.0006550000107381493 3.522783e-05
SDSS:r' 0.6246977662012919 0.0013650000328198075 0.00010049875
SDSS:i' 0.7634912086792645 0.001984999922569841 0.0001603122
SDSS:z' 0.9017941824088558 0.0029100000392645597 2e-05
SDSS:u 0.3519021246126397 0.00014224999540601857 6.164414e-06
SDSS:g 0.4819969420238593 0.000522249998539337 5.291503e-06
SDSS:r 0.6246977662012919 0.0009545999928377569 1.4456832e-05
SDSS:i 0.7634912086792645 0.0014345000381581485 1.4422204e-05
SDSS:z 0.9017941824088559 0.0021155000213184394 3.1874755e-05
2MASS:J 1.239016606050587 0.0021485714241862297 0.00036578684
2MASS:H 1.6494770729023387 0.0025299999064632823 0.00037947332
2MASS:Ks 2.1637853338145083 0.001970000099390745 0.00034292857
WISE:W1 3.350010705106716 0.003869999937402705 0.00017916474
WISE:W2 4.600019302768061 0.004140000091865659 0.00020149443
WISE:W3 11.559823320737253 0.008794000186026097 0.0005054701
WISE:W4 22.090668189521775 0.023900000378489494 0.0028071338
"W1 (WISE)" 3.3533831991051453 0.004076666666666667 9.450661352519199e-05
"W2 (WISE)" 4.60510688172043 0.004166666666666667 0.00010448033307757017
"W3 (WISE)" 11.574998378378377 0.009246666666666667 0.0005861484453617531
"W4 (WISE)" 22.0435630882353 0.024166666666666666 0.0035370185184700406
"4.5 microns (IRAC)" 4.494639550224888 0.002665 3.9199234686406825e-06
"8.0 microns (IRAC)" 7.86856845144357 0.00503 1.2994633507721562e-05
