Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.00031599999056197703 3.4641016e-05
2MASS:H 1.6494770729023385 0.00042799999937415123 5.8889727e-05
2MASS:Ks 2.163785333814508 0.0005639999872073531 6.928203e-05
:=3.6um 3.599986286565157 0.0003020000003743917 6.505383e-05
:=4.5um 4.499969349004068 0.00031599999056197703 4.9497477e-05
:=5.8um 5.800039815817985 0.0003220000071451068 3.5355337e-05
:=8um 8.00001222180712 0.0009040000149980187 0.000146
WISE:W1 3.350010705106716 0.0003438333296799101 4.311612e-05
WISE:W2 4.600019302768061 0.00037281999684637415 3.6486847e-05
WISE:W3 11.559823320737255 0.0017849999712780118 0.00013416407
WISE:W4 22.09066818952177 0.00381499994546175 0.000616198
Spitzer/MIPS:24 23.674678828081813 0.0038799999747425318 0.00017
Herschel/PACS:160 160.0002444361424 0.06800000369548798 0.014
Herschel/SPIRE:250 249.99371080720482 0.06199999898672104 0.0057
"W1 (WISE)" 3.3533831991051453 0.000804 5.1814380243326276e-05
"W2 (WISE)" 4.60510688172043 0.000457 7.581859930122687e-05
"W3 (WISE)" 11.574998378378377 0.0025466666666666663 0.0001439789915230691
"W4 (WISE)" 22.0435630882353 0.004746666666666666 0.0008130012300113696
"3.6 microns (IRAC)" 3.5520433412322276 0.000428 3.203154694984306e-06
"4.5 microns (IRAC)" 4.494639550224888 0.00045049999999999995 3.8961006147172325e-06
"5.8 microns (IRAC)" 5.732169369024856 0.000379 1.099498067301621e-05
"8.0 microns (IRAC)" 7.86856845144357 0.001175 1.40089257261219e-05
"24 microns (MIPS)" 23.60570535433071 0.003995 5.58337711425621e-05
