Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 5.550000120517022e-06 2.6833002e-06
GALEX:NUV 0.23119646641474512 1.9999999949504854e-05 4.1892717e-06
2MASS:J 1.239016606050587 0.00041599999531172216 0.00012964182
2MASS:H 1.6494770729023385 0.0005430000019259751 0.00016932808
2MASS:Ks 2.163785333814508 0.000645000021904707 0.0001886107
WISE:W1 3.350010705106716 0.0009916667024501497 6.208059e-05
WISE:W2 4.600019302768061 0.0011288888830070694 8.5440035e-05
WISE:W3 11.559823320737255 0.0026162499270867556 0.00032908964
WISE:W4 22.090668189521775 0.004847142978438309 0.002375458
"W1 (WISE)" 3.3533831991051453 0.0011200000000000001 3.737766712891537e-05
"W2 (WISE)" 4.60510688172043 0.0011766666666666668 4.583481209735674e-05
"W3 (WISE)" 11.574998378378377 0.0028366666666666666 0.0002668426502641585
"W4 (WISE)" 22.0435630882353 0.004273333333333333 0.0022017740574364116
