Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.1899999410379678e-05 5.374012e-06
GALEX:NUV 0.23119646641474512 3.609999839682132e-05 4.808326e-06
SDSS:u 0.3519021246126397 0.0001049999991664663 2e-06
SDSS:g 0.48199694202385923 0.00019099999917671084 1e-06
SDSS:r 0.6246977662012919 0.0002680000034160912 1e-06
SDSS:i 0.7634912086792646 0.0004030000127386302 2e-06
SDSS:z 0.9017941824088558 0.0004290000069886446 6e-06
2MASS:J 1.239016606050587 0.0004820000031031668 0.00012170456
2MASS:H 1.6494770729023385 0.0005920000257901847 0.0001768898
2MASS:Ks 2.1637853338145083 0.000661000027321279 0.00024890158
WISE:W1 3.350010705106716 0.000380333333547848 2.8965496e-05
WISE:W2 4.600019302768061 0.00032016667440378416 3.7416576e-05
WISE:W3 11.559823320737255 0.0022299999371171 0.00031304953
WISE:W4 22.09066818952177 0.007623999938368797 0.0027194668
"W1 (WISE)" 3.3533831991051453 0.00036500000000000004 3.277880412705747e-05
"W2 (WISE)" 4.60510688172043 0.0003406666666666667 5.103498799843103e-05
"W3 (WISE)" 11.574998378378377 0.0021833333333333336 0.0005354969654442497
"W4 (WISE)" 22.0435630882353 0.006350000000000001 0.0029552834043455123
