Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 1.720000000204891e-05 2.8e-06
2MASS:J 1.239016606050587 0.00032699998700991273 8.7206645e-05
2MASS:H 1.649477072902339 0.0003800000122282654 0.00012969195
2MASS:Ks 2.163785333814508 0.0004949999856762588 0.00018335757
WISE:W1 3.350010705106716 0.00034714286032664986 2.4269322e-05
WISE:W2 4.600019302768061 0.00033785714601565687 3.1336876e-05
WISE:W3 11.559823320737255 0.002960000094026327 0.00030463093
WISE:W4 22.09066818952177 0.010520000383257866 0.0024084018
:=1.4GHz 214137.47000000006 0.000962500023888424 0.000267
"W1 (WISE)" 3.3533831991051453 0.0006356666666666666 2.3639604480616846e-05
"W2 (WISE)" 4.60510688172043 0.000509 4.7377631853016886e-05
"W3 (WISE)" 11.574998378378377 0.00342 0.00032360006180469125
"W4 (WISE)" 22.0435630882353 0.01022 0.0021829109006095506
