Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.610000072105322e-05 8e-07
GALEX:NUV 0.23119646641474512 2.8000000384054147e-05 2e-07
SDSS:u 0.3519021246126397 5.4700001783203334e-05 2.1e-06
WISE:W1 3.3500107051067163 0.0004425555655163609 2.8337254e-05
WISE:W2 4.600019302768061 0.0005715555679570469 3.9038445e-05
WISE:W3 11.559823320737253 0.0015933333391634126 0.00023748683
WISE:W4 22.09066818952177 0.0025479999370872975 0.0014188729
"W1 (WISE)" 3.3533831991051453 0.000415 2.974642835703137e-05
"W2 (WISE)" 4.60510688172043 0.000512 3.871885845424681e-05
"W3 (WISE)" 11.574998378378377 0.0016966666666666666 0.00027154005229431625
"W4 (WISE)" 22.0435630882353 0.00264 0.000725
