Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 1.2100000276404899e-05 1.3e-06
SDSS:g' 0.48199694202385923 2.1600000764010474e-05 6e-07
SDSS:r' 0.6246977662012919 5.18000015290454e-05 1e-06
SDSS:i' 0.7634912086792645 7.750000077066943e-05 1.4e-06
SDSS:z' 0.9017941824088558 0.00011300000187475234 4e-06
SDSS:u 0.3519021246126397 2.867500006686896e-05 5.8813266e-06
SDSS:g 0.4819969420238593 3.892500046731584e-05 2.4020824e-06
SDSS:r 0.6246977662012919 0.00011927499872399494 3.5749126e-06
SDSS:i 0.7634912086792643 0.00020297499895605142 5.884726e-06
SDSS:z 0.9017941824088558 0.0003092875003858353 1.716275e-05
WISE:W1 3.350010705106716 0.0003617142792791128 2.7000002e-05
WISE:W2 4.600019302768061 0.0003124000009847805 2.6551837e-05
WISE:W3 11.559823320737255 0.0003969999961555004 0.00017854972
"W1 (WISE)" 3.3533831991051453 0.0010233333333333333 3.114225425366635e-05
"W2 (WISE)" 4.60510688172043 0.000629 4.548955924165456e-05
"W3 (WISE)" 11.574998378378377 0.000358 0.000142
"100 microns (IRAS)" 99.93081933333333 0.55 0.098
