Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.00022400000307243317 2.598076e-05
2MASS:H 1.6494770729023385 0.0003330000035930425 3.6373065e-05
2MASS:Ks 2.163785333814508 0.0005549999768845737 6.062178e-05
:=3.6um 3.599986286565157 0.0007810000097379088 3.2526914e-05
:=4.5um 4.499969349004068 0.0009560000034980476 4.1012194e-05
:=5.8um 5.800039815817985 0.0012199999764561653 5.656854e-05
:=8um 8.00001222180712 0.0015899999998509884 8.4852814e-05
WISE:W1 3.3500107051067163 0.0008099999977275729 3.159114e-05
WISE:W2 4.600019302768061 0.0010300000139977783 3.872983e-05
WISE:W3 11.559823320737257 0.0017299999599345028 0.00014212671
WISE:W4 22.090668189521768 0.00570000009611249 0.0009404786
Spitzer/MIPS:24 23.674678828081813 0.005049999803304672 0.0001
"W1 (WISE)" 3.3533831991051453 0.001418 0.00010503756470901256
"W2 (WISE)" 4.60510688172043 0.0012033333333333334 0.00014321396579942893
"W3 (WISE)" 11.574998378378377 0.0017233333333333334 0.0002341580662714825
"W4 (WISE)" 22.0435630882353 0.005543333333333333 0.00126069227014367
"3.6 microns (IRAC)" 3.5520433412322276 0.0007646666666666666 3.7443469390535914e-05
"4.5 microns (IRAC)" 4.494639550224888 0.0009450000000000001 2.7606520968785616e-06
"5.8 microns (IRAC)" 5.732169369024856 0.00116 8.36145920279469e-06
"8.0 microns (IRAC)" 7.86856845144357 0.00165 7.0234535664443595e-06
"24 microns (MIPS)" 23.60570535433071 0.00511 0.00011323802364930253
