Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.769999941345304e-05 8.7e-06
GALEX:NUV 0.23119646641474512 5.059999966761097e-05 5.6e-06
SDSS:u 0.3519021246126397 5.314999907568563e-05 2.0615528e-06
SDSS:g 0.48199694202385923 8.069999967119657e-05 1.3601469e-06
SDSS:r 0.6246977662012919 9.014999886858277e-05 1.2727921e-06
SDSS:i 0.7634912086792645 0.00011200000153621659 1.4142136e-06
SDSS:z 0.9017941824088558 0.00013449999823933467 5.8309515e-06
:=3.6um 3.599986286565157 0.00035700001171790063 1e-05
:=4.5um 4.499969349004068 0.0004180000105407089 1.5e-05
WISE:W1 3.350010705106716 0.00034966667105133337 2.3021728e-05
WISE:W2 4.600019302768061 0.00042516667357025045 3.4842502e-05
WISE:W3 11.559823320737255 0.0010580000001937152 0.00026
WISE:W4 22.09066818952177 0.00404500006698072 0.0015955876
