Filter Wave Flux F_er
GALEX:NUV 0.23119646641474514 1.469999976203932e-05 3.947151e-06
SDSS:u 0.35190212461263964 1.3344444394331529e-05 3.3030287e-06
SDSS:g 0.48199694202385934 2.3849999934100197e-05 1.6643318e-06
SDSS:r 0.6246977662012919 2.1837499843968544e-05 1.979899e-06
SDSS:i 0.7634912086792643 3.251250063840416e-05 2.61916e-06
SDSS:z 0.901794182408856 3.6487499073700747e-05 8.544589e-06
2MASS:Ks 2.163785333814508 0.00023799999326001853 5.6e-05
:=3.6um 3.599986286565157 0.00015900000289548188 6e-06
:=4.5um 4.499969349004068 0.00014099999680183828 1e-05
WISE:W1 3.3500107051067163 0.00016990000149235128 1.8547236e-05
WISE:W2 4.600019302768061 0.00015270000294549392 2.877499e-05
WISE:W3 11.559823320737255 0.0003812857113579022 0.00022437023
WISE:W4 22.090668189521775 0.0018500000005587935 6e-05
"W1 (WISE)" 3.3533831991051453 0.00016866666666666666 2.6463607085958636e-05
"W2 (WISE)" 4.60510688172043 0.0001566666666666667 3.54798308902396e-05
"W3 (WISE)" 11.574998378378377 0.0003846666666666667 0.00021509532770378812
