Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.00043125000229338184 0.00011711533
WISE:W1 3.350010705106716 0.00046099998871795833 0.00026215072
WISE:W2 4.600019302768061 0.00037880000309087336 2.4392622e-05
WISE:W3 11.559823320737257 0.0007580000092275441 0.00014672765
Spitzer/MIPS:24 23.674678828081813 0.0012400000123307109 0.00021
Herschel/SPIRE:250 249.99371080720482 0.04560000076889992 0.0024
Herschel/SPIRE:350 362.9976001356129 0.030899999663233757 0.0023
Herschel/SPIRE:500 516.9994274578785 0.022199999541044235 0.0032
"W1 (WISE)" 3.3533831991051453 0.000759 0.0001859783858409358
"W2 (WISE)" 4.60510688172043 0.00047400000000000003 3.397705107863247e-05
"W3 (WISE)" 11.574998378378377 0.0008856666666666665 0.00021529709705427985
"W4 (WISE)" 22.0435630882353 0.0019950000000000002 0.0012909360944678865
"3.6 microns (IRAC)" 3.554855727092269 0.000598 7.470221860828499e-05
"4.5 microns (IRAC)" 4.503678543789945 0.000495 5.9911437881259365e-05
"5.8 microns (IRAC)" 5.732169369024856 0.00034533333333333334 5.3320053450835925e-05
"8.0 microns (IRAC)" 7.882409380997561 0.0008313333333333332 0.00010620805619160913
"24 microns (MIPS)" 23.60570535433071 0.0008793333333333332 7.568619424967805e-05
