Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 2.2099999910096813e-06 1.3640014e-06
2MASS:J 1.239016606050587 0.0005109999910928309 0.000122
2MASS:H 1.6494770729023387 0.0006079999729990959 0.000142
2MASS:Ks 2.163785333814508 0.0006880000000819564 0.00021242646
WISE:W1 3.350010705106716 0.00036385714442336133 4.7444704e-05
WISE:W2 4.600019302768061 0.0003215000033378601 4.1000003e-05
WISE:W3 11.559823320737257 0.000883666662654529 0.00021925557
WISE:W4 22.090668189521768 0.0020800000056624413 0.00083
"W1 (WISE)" 3.3533831991051453 0.0005049999999999999 6.525496149719192e-05
"W2 (WISE)" 4.60510688172043 0.000394 4.4895545436045216e-05
"W3 (WISE)" 11.574998378378377 0.0009866666666666667 0.00031058171227552983
