Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.1366666816077972e-05 6.5863496e-06
GALEX:NUV 0.23119646641474512 2.096666624614348e-05 6.352952e-06
SDSS:r 0.6246977662012919 0.0002479999966453761 2e-06
2MASS:J 1.239016606050587 0.00042799999937415123 0.000144
2MASS:H 1.6494770729023387 0.00047900000936351717 0.0002453365
2MASS:Ks 2.1637853338145083 0.0006370000191964209 0.00021778888
WISE:W1 3.350010705106716 0.0007298889039601716 5.043808e-05
WISE:W2 4.600019302768061 0.0008464444415747292 6.8622154e-05
WISE:W3 11.559823320737255 0.0026087499572895467 0.0004137632
WISE:W4 22.090668189521775 0.0072242859085755685 0.0025151342
