Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.4100000043981709e-05 1.5e-06
GALEX:NUV 0.23119646641474512 2.1699999706470408e-05 1e-06
SDSS:u 0.3519021246126397 3.972500098825549e-05 5.0695166e-06
SDSS:g 0.4819969420238593 4.6728572280179446e-05 2.5553866e-06
SDSS:r 0.6246977662012919 6.278571423276194e-05 4.1509034e-06
SDSS:i 0.7634912086792643 7.112857045805348e-05 4.3908994e-06
SDSS:z 0.9017941824088558 0.00012514285377359817 1.4035669e-05
2MASS:J 1.239016606050587 0.00017299999308306724 6.505383e-05
2MASS:H 1.6494770729023385 0.00023799999326001853 8.202439e-05
2MASS:Ks 2.163785333814508 0.00036800000816583633 7.5e-05
WISE:W1 3.3500107051067167 0.0006315833403884122 6.0216276e-05
WISE:W2 4.600019302768061 0.000875583330829007 8.774965e-05
WISE:W3 11.559823320737253 0.0019489999976940453 0.00049010204
WISE:W4 22.09066818952177 0.004816666555901368 0.0027639105
