Filter Wave Flux F_er
GALEX:NUV 0.23119646641474514 1.449999975496515e-05 2.5806976e-06
SDSS:u 0.3519021246126397 2.8228571214380542e-05 4.7053163e-06
SDSS:g 0.4819969420238593 4.926666648922643e-05 2.7946378e-06
SDSS:r 0.6246977662012919 7.410000155990322e-05 3.4307434e-06
SDSS:i 0.7634912086792643 9.001666573264326e-05 4.8466486e-06
SDSS:z 0.9017941824088558 0.0001071666665666271 9.797959e-06
WISE:W1 3.3500107051067167 0.0005452727385669608 4.0274062e-05
WISE:W2 4.600019302768061 0.0007642727154730396 6.0423503e-05
WISE:W3 11.559823320737255 0.0016537499614059925 0.0002912044
"W1 (WISE)" 3.3533831991051453 0.0009503333333333334 2.634287190114244e-05
"W2 (WISE)" 4.60510688172043 0.0010136666666666666 4.2961959918048434e-05
"W3 (WISE)" 11.574998378378377 0.0019333333333333331 0.00022705285728217558
"W4 (WISE)" 22.0435630882353 0.00201 0.000869
