Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 8.640000032755779e-06 2.992073e-06
SDSS:u' 0.3519021246126397 4.3399999412940815e-05 3.8e-06
SDSS:g' 0.48199694202385923 0.00019099999917671084 2e-06
SDSS:r' 0.6246977662012919 0.00047900000936351717 3e-06
SDSS:i' 0.7634912086792645 0.0007379999733529985 5e-06
SDSS:u 0.3519021246126397 4.3799998820759356e-05 3.4e-06
SDSS:g 0.48199694202385923 0.00019200000679120421 2e-06
SDSS:r 0.6246977662012919 0.00047599998652003706 3e-06
SDSS:i 0.7634912086792645 0.0007350000087171793 4e-06
SDSS:z 0.9017941824088558 0.0010499999625608325 1e-05
2MASS:J 1.239016606050587 0.0006990000256337225 0.000138
2MASS:H 1.6494770729023387 0.001019999966956675 0.0002
2MASS:Ks 2.163785333814508 0.001069999998435378 0.00026832815
WISE:W1 3.3500107051067163 0.0008398000150918961 3.656501e-05
WISE:W2 4.600019302768061 0.0005444000009447337 3.307567e-05
WISE:W3 11.559823320737257 0.0007593333333109816 0.00019525111
