Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 1.4999999621068127e-05 6.1e-06
SDSS:u 0.3519021246126397 8.534285630698183e-06 2.8091101e-06
SDSS:g 0.48199694202385923 1.5966667130366357e-05 1.2247449e-06
SDSS:r 0.6246977662012919 2.1516666796136025e-05 1.5132747e-06
SDSS:i 0.7634912086792643 3.748333256226033e-05 2.2472204e-06
SDSS:z 0.9017941824088558 4.576666712334069e-05 6.928925e-06
WISE:W1 3.3500107051067163 0.00016837777932071022 1.8115188e-05
WISE:W2 4.600019302768061 0.00019837500258290675 3.3226497e-05
WISE:W3 11.559823320737255 0.0004229999962262809 0.00025932607
WISE:W4 22.09066818952177 0.00215999991632998 8e-05
:=1.4GHz 214137.47000000003 0.0010000000474974513 0.00012
"W1 (WISE)" 3.3533831991051453 0.0002486666666666667 2.3172261434741325e-05
"W2 (WISE)" 4.60510688172043 0.00021566666666666666 4.1135629325440005e-05
"W3 (WISE)" 11.574998378378377 0.0007693333333333333 0.00030671485128698934
