Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0002209999947808683 3.7121423e-05
GALEX:NUV 0.23119646641474514 0.00024100000882754102 2.5019992e-05
SDSS:u 0.3519021246126397 0.00021549999655690044 5.6568542e-06
SDSS:g 0.4819969420238593 0.00020199999562464654 5.6568542e-06
SDSS:r 0.6246977662012919 0.00020249999943189323 5.6568542e-06
SDSS:i 0.7634912086792643 0.0001740000006975606 4.242641e-06
SDSS:z 0.9017941824088558 0.0003220000071451068 9.899495e-06
2MASS:J 1.239016606050587 0.00036899998667649925 0.00013757907
2MASS:H 1.6494770729023385 0.00041700000292621553 0.00018784835
2MASS:Ks 2.163785333814508 0.000678999989759177 0.00019805557
:=3.6um 3.599986286565157 0.0015399999683722854 3e-05
:=4.5um 4.499969349004068 0.002090000081807375 4e-05
WISE:W1 3.350010705106716 0.0014640000415965914 6.708204e-05
WISE:W2 4.600019302768061 0.0021450000155406692 9.949874e-05
WISE:W3 11.559823320737255 0.0037539999932050703 0.00027367866
WISE:W4 22.09066818952177 0.0097550000064075 0.0015681837
