Filter Wave Flux F_er
SDSS:u 0.3519021246126397 7.730000106676016e-06 7.6e-07
SDSS:g 0.48199694202385923 1.7700000171316788e-05 4e-07
SDSS:r 0.6246977662012919 2.350000067963265e-05 6e-07
SDSS:i 0.7634912086792645 3.35000004270114e-05 8e-07
SDSS:z 0.9017941824088558 3.849999848171137e-05 2.8e-06
WISE:W1 3.350010705106716 0.00017116667004302144 1.9183326e-05
WISE:W2 4.600019302768061 0.0002296666668068307 4.205948e-05
WISE:W4 22.09066818952177 0.004412500071339309 0.0028053343
"W1 (WISE)" 3.3533831991051453 0.00027733333333333337 2.978742016355226e-05
"W2 (WISE)" 4.60510688172043 0.00022466666666666666 0.00010544657415013537
"W4 (WISE)" 22.0435630882353 0.004313333333333333 0.0031653751752359466
